Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:13180000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
13180000;1;01/07/2019;;1;1;335,63;242,737;277,117;15;27;1;1;1;;0;294,912;287,841;280,871;274,002;280,871;272,301;272,301;257,268;272,301;289,599;302,084;313,034;320,463;327,995;335,63;335,63;318,596;296,695;280,871;263,887;257,268;253,995;250,748;247,525;245,923;244,327;242,737;242,737;242,737;242,737;242,737;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
13180000;1;01/06/2019;;1;1;634,374;313,034;482,455;9;30;3;3;3;;0;571,9;499,738;449,065;476,952;504,615;553,642;567,958;598,593;634,374;631,578;604,018;548,49;508,291;498,523;545,924;547,206;525,656;503,393;481,697;467,546;449,065;426,58;413,415;398,364;381,565;363,176;351,213;339,486;318,596;313,034;;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
13180000;1;01/05/2019;;1;1;1006,077;379,496;616,329;5;29;1;1;1;;0;806;793,16;825,49;899,319;1006,077;962,524;860,26;770,982;700,711;657,006;598,593;571,9;548,49;628,79;685,958;680,109;617,707;614,955;582,491;535,733;465,212;451,351;462,884;449,065;437,737;417,777;406,925;392,014;379,496;413,415;484,08;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
13180000;1;01/04/2019;;1;1;2694,794;733,824;1188,841;4;15;1;1;1;;0;2401,998;2420,488;2545,909;2694,794;2169,196;1482,747;1081,211;899,319;845,255;855,241;841,941;872,039;835,338;767,844;733,824;920,106;973,306;966,11;930,605;1002,404;955,376;969,704;987,791;1006,077;985,974;937,643;951,814;923,598;878,813;828,765;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
13180000;1;01/03/2019;;1;1;2896,555;930,605;2003,224;31;22;1;1;1;;0;2482,73;2545,909;2603,573;2616,491;2520,525;1615,581;1212,238;1266,301;1374,211;2251,154;2414,315;2359,178;2350,061;2038,432;1630,214;1750,098;2117,455;1859,144;1505,974;1287,466;1108,266;930,605;1300,265;2146,108;2100,372;2377,473;2395,853;2383,591;2420,488;2239,335;2896,555;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
13180000;1;01/02/2019;;1;1;3230,109;841,941;2289,427;10;28;1;1;1;;0;1732,301;2328,871;2635,939;2791,237;2751,087;2794,598;2910,312;3007,696;3078,418;3230,109;3025,286;2334,914;2395,853;2590,693;2927,563;3171,813;3186,329;3135,697;2727,824;2307,793;2027,287;1274,742;1096,622;998,739;984,158;927,097;889,031;841,941;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
13180000;1;01/01/2019;;1;1;2027,287;444,513;930,245;30;12;1;1;1;;0;700,711;590,51;561,424;566,648;654,152;727,736;659,868;623,234;906,217;609,472;455,944;444,513;688,894;1430,132;1652,31;1466,615;1494,334;1400,889;1216,347;937,643;863,616;766,278;684,493;694,788;789,969;902,764;777,28;671,39;1167,577;2027,287;1704,552;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
13180000;1;01/12/2018;;1;1;1901,713;255,628;974,703;21;10;1;1;1;;0;783,609;934,12;1326,088;1266,301;973,306;700,711;639,989;620,467;545,924;255,628;657,006;809,229;796,358;528,164;582,491;564,033;715,651;1169,585;1330,421;1689,527;1901,713;1548,322;1347,837;1478,127;1171,596;923,598;969,704;1116,068;1175,623;923,598;770,982;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
13180000;1;01/11/2018;;1;1;1729,767;231,778;620,935;28;10;1;1;1;;0;451,351;439,989;359,162;324,216;329,893;322,336;286,089;258,913;239,575;231,778;267,234;270,605;263,887;337,555;422,165;439,989;417,777;402,631;406,925;428,798;561,424;626,008;969,704;882,211;987,791;1548,322;1714,612;1729,767;1482,747;1224,59;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
13180000;1;01/10/2018;;1;1;358,162;65,226;161,031;31;2;1;1;1;;0;65,592;65,226;65,592;66,327;66,327;66,327;66,327;65,592;65,959;66,327;66,327;168,334;168,334;169,615;169,615;174,144;176,107;178,744;177,422;176,107;174,144;172,194;172,194;172,194;173,493;174,797;254,811;348,259;353,19;354,181;358,162;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
